sID,schoolname,level,eType,address,city,region,lati,longi
B000013553,양주고등학교,고등학교,공립,경기도 양주시 삼숭로38번길 78-52,경기도교육청,경기도동두천양주교육지원청,37.79457574,127.107311
B000009811,홍천중학교,중학교,공립,강원특별자치도 홍천군 홍천읍 석화로 109-10,강원특별자치도교육청,강원특별자치도홍천교육지원청,37.6978473,127.8912233
B000005262,성화초등학교,초등학교,공립,충청북도 청주시 서원구 신화로 22,충청북도교육청,충청북도청주교육지원청,36.61626814,127.4555849
B000012609,광문고등학교,고등학교,공립,경기도 광명시 원광명안로 39,경기도교육청,경기도광명교육지원청,37.4647863,126.8500836
B000002900,대구성남초등학교,초등학교,공립,대구광역시 달서구 성당로47길 35,대구광역시교육청,대구광역시남부교육지원청,35.85325586,128.5719014
B000003284,불로초등학교,초등학교,공립,광주광역시 남구 제석로80번길 58-5,광주광역시교육청,광주광역시서부교육지원청,35.12062852,126.9141127
B000007549,북면초등학교승산분교장,초등학교,공립,경상남도 창원시 의창구 북면 구룡로312번길 7,경상남도교육청,경상남도창원교육지원청,35.30401403,128.62816
B000002441,동신초등학교,초등학교,공립,부산광역시 서구 대영로85번길 81-19,부산광역시교육청,부산광역시서부교육지원청,35.11417525,129.0179375
B000003218,문우초등학교,초등학교,공립,광주광역시 북구 능안로 7,광주광역시교육청,광주광역시동부교육지원청,35.18579096,126.9164071
B000012070,진선여자고등학교,고등학교,사립,서울특별시 강남구 선릉로85길 27,서울특별시교육청,서울특별시강남서초교육지원청,37.50185588,127.0469382
B000007884,설천초등학교,초등학교,공립,경상남도 남해군 설천면 설천로696번길 11,경상남도교육청,경상남도남해교육지원청,34.92599688,127.9148092
B000008440,장위중학교,중학교,공립,서울특별시 성북구 장위로4길 70,서울특별시교육청,서울특별시성북강북교육지원청,37.61140301,127.0413533
B000009002,대전신일중학교,중학교,사립,대전광역시 중구 부사로32번길 27,대전광역시교육청,대전광역시동부교육지원청,36.30934784,127.434627
B000010064,대천서중학교,중학교,공립,충청남도 보령시 대천항로 212,충청남도교육청,충청남도보령교육지원청,36.31930993,126.5144271
B000006062,창오초등학교,초등학교,공립,전북특별자치도 군산시 성산면 동군산로 393,전북특별자치도교육청,전북특별자치도군산교육지원청,35.98481332,126.816315
B000002376,서울신양초등학교,초등학교,공립,서울특별시 광진구 능동로 42,서울특별시교육청,서울특별시성동광진교육지원청,37.53462395,127.0691421
B000009270,신기중학교,중학교,공립,경기도 안양시 동안구 경수대로610번길 57,경기도교육청,경기도안양과천교육지원청,37.37887552,126.9589977
B000011632,칠보고등학교,고등학교,공립,전북특별자치도 정읍시 칠보면 건흥길 26-5,전북특별자치도교육청,전북특별자치도정읍교육지원청,35.60542171,126.9916678
B000011376,부산전자공업고등학교,고등학교,공립,부산광역시 동래구 금강로59번길 51,부산광역시교육청,부산광역시동래교육지원청,35.21531552,129.0724772
B000009317,상하중학교,중학교,공립,경기도 용인시 기흥구 중부대로746번길 16-29,경기도교육청,경기도용인교육지원청,37.26159673,127.1357387
B000010857,경산여자중학교,중학교,사립,경상북도 경산시 경산로 91,경상북도교육청,경상북도경산교육지원청,35.81737566,128.7309072
B000002228,서울가곡초등학교,초등학교,공립,서울특별시 강서구 공항대로36길 74,서울특별시교육청,서울특별시강서양천교육지원청,37.55538679,126.8358488
B000002390,서울정덕초등학교,초등학교,공립,서울특별시 성북구 아리랑로 63,서울특별시교육청,서울특별시성북강북교육지원청,37.59782277,127.0135147
B000005244,금천초등학교,초등학교,공립,충청북도 청주시 상당구 수영로 248,충청북도교육청,충청북도청주교육지원청,36.62721387,127.5057468
B000013538,대전노은고등학교,고등학교,공립,대전광역시 유성구 노은동로 99,대전광역시교육청,대전광역시서부교육지원청,36.36895692,127.3195092
B000007737,아주초등학교,초등학교,공립,경상남도 거제시 탑곡로4길 24,경상남도교육청,경상남도거제교육지원청,34.86422603,128.692928
